utc_time,lat_deg,lon_deg,alt_m,ecef_x_m,ecef_y_m,ecef_z_m,vel_e_ms,vel_n_ms,vel_u_ms,speed_ms,clock_bias_m,n_sats,systems,gdop
2026-03-21T15:17:57.418Z,32.16872230,34.81330665,43.562,4436903.090,3085256.432,3376306.416,0.050,-0.330,-0.075,0.342,-14.683,22,GECR,1.90
2026-03-21T15:17:58.418Z,32.16878218,34.81329368,46.858,4436903.176,3085255.002,3376313.791,-0.258,-0.361,0.157,0.471,-10.199,27,GECR,1.32
2026-03-21T15:17:59.418Z,32.16873988,34.81320564,37.677,4436903.586,3085245.173,3376304.933,-0.164,-0.232,0.070,0.293,-18.755,26,GECR,1.24
2026-03-21T15:18:00.418Z,32.16877661,34.81325137,35.665,4436897.945,3085246.504,3376307.309,-0.000,0.013,-0.004,0.014,-18.052,24,GECR,1.30
2026-03-21T15:18:01.418Z,32.16877298,34.81321786,44.940,4436906.372,3085248.514,3376311.906,0.201,-0.101,-0.924,0.951,-12.167,24,GECR,1.43
2026-03-21T15:18:02.418Z,32.16873952,34.81320825,47.574,4436910.342,3085250.170,3376310.168,-0.129,0.551,-0.124,0.579,-6.755,28,GECR,1.17
2026-03-21T15:18:03.418Z,32.16875587,34.81320841,49.533,4436910.902,3085250.578,3376312.746,-0.268,0.737,0.024,0.785,-7.698,28,GECR,1.17
2026-03-21T15:18:04.418Z,32.16877223,34.81321452,38.774,4436902.302,3085245.301,3376308.553,0.094,0.843,-0.476,0.972,-14.900,28,GECR,1.26
2026-03-21T15:18:05.418Z,32.16876515,34.81323784,33.959,4436898.044,3085245.019,3376305.325,0.213,0.620,-0.388,0.762,-17.770,27,GECR,1.21
2026-03-21T15:18:06.418Z,32.16878927,34.81324786,36.840,4436898.337,3085246.374,3376309.123,0.299,0.573,-0.296,0.711,-14.848,26,GECR,1.24
2026-03-21T15:18:07.418Z,32.16879605,34.81324830,43.575,4436902.665,3085249.434,3376313.345,0.042,0.115,0.153,0.196,-8.305,25,GECR,1.35
2026-03-21T15:18:08.418Z,32.16876624,34.81320881,42.773,4436905.680,3085246.993,3376310.120,-0.582,-0.658,-0.985,1.320,-6.595,25,GECR,1.35
2026-03-21T15:18:09.418Z,32.16878828,34.81321184,37.164,4436900.551,3085243.774,3376309.202,-3.047,-0.611,1.735,3.559,-15.701,24,GECR,1.47
2026-03-21T15:18:10.418Z,32.16875176,34.81318839,23.917,4436894.376,3085236.787,3376298.722,-3.279,0.017,-0.287,3.292,-27.360,21,GECR,1.58
2026-03-21T15:18:11.418Z,32.16873640,34.81312647,29.011,4436901.996,3085234.972,3376299.992,-4.000,0.120,0.070,4.003,-25.252,21,GECR,1.50
2026-03-21T15:18:12.418Z,32.16874556,34.81305797,41.325,4436913.798,3085235.310,3376307.408,-4.578,0.318,-1.185,4.739,-16.163,22,GECR,1.53
2026-03-21T15:18:13.418Z,32.16881010,34.81301579,45.516,4436915.854,3085231.894,3376315.697,-6.333,0.415,-0.295,6.353,-14.998,20,GECR,1.73
2026-03-21T15:18:14.418Z,32.16878921,34.81296894,32.733,4436910.505,3085222.792,3376306.930,-6.546,0.417,-0.797,6.607,-26.974,23,GECR,1.29
2026-03-21T15:18:15.418Z,32.16878839,34.81285658,38.379,4436920.519,3085216.847,3376309.860,-6.385,0.387,-1.506,6.572,-22.839,25,GECR,1.34
2026-03-21T15:18:16.418Z,32.16874886,34.81279780,19.498,4436912.478,3085204.503,3376296.096,-6.926,0.388,-0.715,6.974,-43.507,22,GECR,1.48
2026-03-21T15:18:17.418Z,32.16884604,34.81278140,37.346,4436921.054,3085208.583,3376314.721,-7.119,0.391,-0.466,7.145,-30.244,27,GECR,1.12
2026-03-21T15:18:18.418Z,32.16878993,34.81264791,31.968,4436927.225,3085197.538,3376306.590,-7.436,0.454,-0.287,7.456,-37.506,25,GECR,1.24
2026-03-21T15:18:19.418Z,32.16885782,34.81255206,49.578,4436941.334,3085196.338,3376322.339,-7.467,0.457,-0.423,7.493,-22.586,26,GECR,1.21
2026-03-21T15:18:20.418Z,32.16880067,34.81248972,34.736,4436937.146,3085186.264,3376309.073,-7.540,0.510,-0.349,7.565,-37.642,28,GECR,1.16
2026-03-21T15:18:21.418Z,32.16885017,34.81240906,47.255,4436947.791,3085184.399,3376320.384,-6.960,0.182,-1.761,7.181,-30.268,27,GECR,1.14
2026-03-21T15:18:22.418Z,32.16882326,34.81237627,30.586,4436939.276,3085174.711,3376308.983,-7.464,0.224,-0.999,7.534,-46.605,26,GECR,1.22
2026-03-21T15:18:23.418Z,32.16879602,34.81221665,21.112,4436942.607,3085158.690,3376301.382,-7.181,0.312,-0.163,7.189,-55.027,25,GECR,1.21
2026-03-21T15:18:24.418Z,32.16878277,34.81223840,41.081,4436955.956,3085170.471,3376310.770,-6.415,-0.202,-1.387,6.566,-38.583,30,GECR,1.00
2026-03-21T15:18:25.418Z,32.16881577,34.81209295,49.491,4436968.033,3085162.159,3376318.346,-6.125,0.626,-0.542,6.181,-31.390,23,GECR,1.40
2026-03-21T15:18:26.418Z,32.16890622,34.81215276,38.452,4436952.756,3085158.407,3376320.959,-4.751,0.664,-0.670,4.844,-48.363,25,GECR,1.17
2026-03-21T15:18:27.418Z,32.16887161,34.81204895,37.891,4436959.634,3085151.264,3376317.412,-4.484,0.494,-0.111,4.512,-43.630,23,GECR,1.28
2026-03-21T15:18:28.418Z,32.16886812,34.81194107,38.770,4436966.223,3085143.452,3376317.552,-3.634,0.727,-0.512,3.741,-45.121,25,GECR,1.20
2026-03-21T15:18:29.418Z,32.16884104,34.81193718,23.369,4436957.041,3085136.622,3376306.811,-2.812,1.262,-0.295,3.097,-59.998,26,GECR,1.10
2026-03-21T15:18:30.418Z,32.16889238,34.81186194,47.352,4436975.272,3085140.654,3376324.399,-1.884,1.957,-0.319,2.735,-42.501,28,GECR,1.07
2026-03-21T15:18:31.418Z,32.16890183,34.81185955,34.952,4436966.325,3085134.159,3376318.683,-0.532,2.564,-0.020,2.618,-54.097,26,GECR,1.22
2026-03-21T15:18:32.418Z,32.16892757,34.81188151,37.903,4436965.946,3085136.417,3376322.671,0.380,1.704,-0.232,1.761,-52.500,27,GECR,1.14
2026-03-21T15:18:33.418Z,32.16892517,34.81188467,33.767,4436963.017,3085134.744,3376320.243,0.342,1.476,0.342,1.553,-58.332,29,GECR,1.07
2026-03-21T15:18:34.418Z,32.16895695,34.81187974,37.816,4436964.556,3085135.248,3376325.382,0.375,2.166,0.026,2.198,-54.468,27,GECR,1.20
2026-03-21T15:18:35.418Z,32.16899491,34.81189504,33.745,4436959.063,3085133.186,3376326.777,0.285,3.330,-0.279,3.354,-56.713,29,GECR,1.07
2026-03-21T15:18:36.418Z,32.16902279,34.81189720,36.264,4436959.346,3085133.631,3376330.736,1.309,3.243,-0.884,3.608,-56.917,29,GECR,1.12
2026-03-21T15:18:37.418Z,32.16902649,34.81186428,32.079,4436958.030,3085128.935,3376328.855,1.491,4.034,0.438,4.323,-62.293,27,GECR,1.20
2026-03-21T15:18:38.418Z,32.16911245,34.81195253,40.475,4436954.947,3085136.928,3376341.393,1.985,4.268,-0.298,4.716,-54.838,30,GECR,1.06
2026-03-21T15:18:39.418Z,32.16911134,34.81195551,32.028,4436948.970,3085133.115,3376336.792,2.152,5.118,-0.190,5.555,-64.394,31,GECR,1.07
2026-03-21T15:18:40.418Z,32.16918166,34.81198012,34.002,4436945.608,3085133.605,3376344.444,2.560,6.242,-0.056,6.747,-65.068,32,GECR,1.10
2026-03-21T15:18:41.418Z,32.16924516,34.81200963,35.933,4436942.283,3085134.683,3376351.432,2.989,7.542,0.267,8.117,-66.697,28,GECR,1.15
2026-03-21T15:18:42.418Z,32.16931190,34.81207379,36.131,4436935.731,3085137.496,3376357.803,3.244,8.261,0.161,8.877,-68.388,29,GECR,1.22
2026-03-21T15:18:43.418Z,32.16936906,34.81207924,33.531,4436930.860,3085134.736,3376361.784,3.420,8.519,0.276,9.184,-74.413,25,GECR,1.36
2026-03-21T15:18:44.418Z,32.16946864,34.81212895,39.731,4436927.665,3085138.225,3376374.432,3.461,8.133,0.031,8.839,-74.873,31,GECR,1.04
2026-03-21T15:18:45.418Z,32.16952408,34.81217383,33.937,4436918.534,3085137.033,3376376.551,3.142,8.070,-0.055,8.660,-82.532,30,GECR,1.08
2026-03-21T15:18:46.418Z,32.16960126,34.81217761,31.317,4436912.768,3085133.457,3376382.400,3.259,8.804,0.423,9.397,-89.450,30,GECR,1.06
2026-03-21T15:18:47.418Z,32.16964688,34.81221025,30.109,4436907.960,3085133.864,3376386.039,3.133,8.476,-0.277,9.041,-98.076,30,GECR,1.09
2026-03-21T15:18:48.418Z,32.16976647,34.81225633,30.333,4436899.837,3085133.509,3376397.385,3.298,7.985,0.307,8.645,-100.510,31,GECR,1.02
2026-03-21T15:18:49.418Z,32.16980700,34.81230333,38.677,4436901.140,3085139.815,3376405.632,3.040,8.245,0.205,8.790,-101.606,31,GECR,1.08
2026-03-21T15:18:50.418Z,32.16991629,34.81235647,38.892,4436893.131,3085140.350,3376416.004,3.149,7.116,-0.704,7.813,-106.344,27,GECR,1.17
2026-03-21T15:18:51.418Z,32.16999525,34.81235750,35.803,4436887.102,3085136.276,3376421.771,3.331,8.675,0.423,9.302,-115.481,27,GECR,1.35
2026-03-21T15:18:52.418Z,32.17003532,34.81236645,29.622,4436880.381,3085132.631,3376422.241,2.837,8.347,-0.394,8.825,-128.539,25,GECR,1.57
2026-03-21T15:18:53.418Z,32.17013916,34.81240618,34.418,4436876.542,3085134.526,3376434.542,3.116,8.063,0.070,8.644,-133.134,26,GECR,1.34
2026-03-21T15:18:54.418Z,32.17020990,34.81248956,34.642,4436868.778,3085138.706,3376441.302,3.016,7.865,0.693,8.452,-138.186,28,GECR,1.32
2026-03-21T15:18:55.418Z,32.17026412,34.81248637,31.132,4436863.882,3085134.935,3376444.523,3.080,7.959,-0.080,8.535,-150.745,30,GECR,1.09
2026-03-21T15:18:56.418Z,32.17036368,34.81252968,38.102,4436861.568,3085138.302,3376457.578,3.305,8.155,0.169,8.801,-152.198,29,GECR,1.10
2026-03-21T15:18:57.418Z,32.17044198,34.81257896,39.983,4436856.427,3085140.387,3376465.929,3.380,8.682,0.591,9.335,-158.545,27,GECR,1.37
2026-03-21T15:18:58.418Z,32.17049370,34.81260579,33.695,4436848.104,3085137.683,3376467.436,3.385,8.436,-0.398,9.099,-172.342,30,GECR,1.16
2026-03-21T15:18:59.418Z,32.17056523,34.81262095,36.303,4436845.633,3085137.706,3376475.539,3.356,9.050,0.236,9.655,-180.393,27,GECR,1.27
2026-03-21T15:19:00.418Z,32.17063810,34.81267539,29.616,4436834.522,3085136.234,3376478.819,3.412,9.066,0.051,9.687,-192.527,27,GECR,1.26
2026-03-21T15:19:01.418Z,32.17074485,34.81269072,39.661,4436835.503,3085138.677,3376494.187,3.237,8.657,0.062,9.243,-193.860,30,GECR,1.12
2026-03-21T15:19:02.418Z,32.17079319,34.81272703,37.317,4436829.575,3085138.727,3376497.476,2.978,8.415,1.087,8.992,-204.863,30,GECR,1.09
2026-03-21T15:19:03.418Z,32.17084136,34.81274516,29.499,4436820.831,3085134.729,3376497.835,2.653,7.188,-0.318,7.669,-218.831,29,GECR,1.24
2026-03-21T15:19:04.418Z,32.17098148,34.81279134,35.280,4436815.569,3085136.375,3376514.065,3.177,6.598,-0.220,7.326,-218.747,29,GECR,1.12
2026-03-21T15:19:05.418Z,32.17100260,34.81285449,35.401,4436811.230,3085140.612,3376516.113,3.016,7.170,-0.002,7.779,-228.057,29,GECR,1.16
2026-03-21T15:19:06.418Z,32.17106504,34.81291048,43.655,4436810.924,3085146.832,3376526.369,2.819,7.782,-0.124,8.278,-229.635,31,GECR,1.12
2026-03-21T15:19:07.418Z,32.17111780,34.81285024,29.307,4436801.638,3085133.455,3376523.681,2.435,7.781,-0.393,8.162,-248.962,29,GECR,1.20
2026-03-21T15:19:08.418Z,32.17121615,34.81292615,33.336,4436795.584,3085137.965,3376535.057,2.025,7.900,0.542,8.173,-250.706,27,GECR,1.17
2026-03-21T15:19:09.418Z,32.17125393,34.81294015,48.998,4436803.883,3085145.344,3376546.943,0.676,7.536,-1.252,7.669,-248.592,27,GECR,1.25
2026-03-21T15:19:10.418Z,32.17132352,34.81293201,29.250,4436787.224,3085132.825,3376542.960,1.031,7.967,-0.147,8.035,-270.110,29,GECR,1.05
2026-03-21T15:19:11.418Z,32.17141181,34.81293085,28.233,4436782.299,3085129.268,3376550.706,1.624,7.943,1.424,8.232,-278.382,26,GECR,1.35
2026-03-21T15:19:12.418Z,32.17151211,34.81294622,40.564,4436785.179,3085133.036,3376566.686,1.281,7.263,-0.194,7.378,-276.272,29,GECR,1.20
2026-03-21T15:19:13.418Z,32.17161963,34.81298329,40.773,4436778.116,3085132.383,3376576.890,0.988,7.705,-0.735,7.803,-283.808,32,GECR,1.02
2026-03-21T15:19:14.418Z,32.17166971,34.81298402,35.892,4436772.257,3085128.393,3376578.992,0.955,7.990,-0.184,8.049,-294.168,27,GECR,1.22
2026-03-21T15:19:15.418Z,32.17173059,34.81297744,31.025,4436766.278,3085123.479,3376582.114,0.937,7.837,0.076,7.893,-306.244,29,GECR,1.23
2026-03-21T15:19:16.418Z,32.17180138,34.81299009,41.490,4436769.438,3085127.130,3376594.331,0.878,8.482,0.946,8.580,-305.136,30,GECR,1.16
2026-03-21T15:19:17.418Z,32.17186869,34.81300694,34.270,4436760.250,3085122.677,3376596.805,0.865,7.683,0.242,7.736,-318.467,27,GECR,1.25
2026-03-21T15:19:18.418Z,32.17192673,34.81301164,33.824,4436756.873,3085120.868,3376602.016,0.800,7.199,-0.132,7.244,-328.020,31,GECR,1.09
2026-03-21T15:19:19.418Z,32.17200120,34.81305683,32.536,4436749.934,3085121.236,3376608.320,0.760,6.897,0.099,6.939,-335.807,27,GECR,1.23
2026-03-21T15:19:20.418Z,32.17206167,34.81304557,37.078,4436750.765,3085120.520,3376616.414,0.636,6.486,0.184,6.519,-337.603,30,GECR,1.11
2026-03-21T15:19:21.418Z,32.17213199,34.81303662,48.889,4436756.047,3085123.164,3376629.304,0.724,6.007,-0.501,6.071,-335.186,31,GECR,1.05
2026-03-21T15:19:22.418Z,32.17217647,34.81304128,37.674,4436745.846,3085116.606,3376627.507,0.691,5.847,-0.023,5.888,-352.878,28,GECR,1.16
2026-03-21T15:19:23.418Z,32.17224704,34.81308044,43.552,4436744.401,3085120.099,3376637.261,0.647,5.485,0.022,5.523,-355.187,29,GECR,1.13
2026-03-21T15:19:24.418Z,32.17225960,34.81305636,38.001,4436741.231,3085115.129,3376635.484,0.668,5.004,-0.091,5.049,-366.541,30,GECR,1.10
2026-03-21T15:19:25.418Z,32.17229482,34.81307252,38.177,4436738.776,3085115.279,3376638.883,0.682,4.627,0.081,4.678,-371.529,30,GECR,1.02
2026-03-21T15:19:26.418Z,32.17232646,34.81307947,30.822,4436731.756,3085111.196,3376637.937,0.310,3.879,0.315,3.905,-382.520,27,GECR,1.24
2026-03-21T15:19:27.418Z,32.17239147,34.81306076,43.433,4436738.377,3085113.650,3376650.754,-0.211,2.580,-0.274,2.603,-379.580,31,GECR,1.02
2026-03-21T15:19:28.418Z,32.17242402,34.81308007,40.516,4436733.732,3085112.638,3376652.256,-1.037,2.494,-0.192,2.708,-388.457,31,GECR,0.99
